batsman,total_runs,total_balls,fours,sixes,strike_rate,wicket_taken,season,stadium,team,opposing_team
Mohammad Hafeez,10,8,2,0,125.00,c Misbah-ul-Haq b Mohammad Irfan,2017,Sharjah Cricket Stadium,Peshawar Zalmi,Islamabad United
Mohammad Hafeez,25,14,4,1,178.57,c Misbah-ul-Haq b Mohammad Sami,2016,Sharjah Cricket Stadium,Peshawar Zalmi,Islamabad United
Mohammad Hafeez,13,18,2,0,72.22,b Yasir Shah,2017,Dubai International Cricket Stadium,Peshawar Zalmi,Lahore Qalandars
Mohammad Hafeez,9,7,2,0,128.57,c Azhar Ali b Cooper,2016,Sharjah Cricket Stadium,Peshawar Zalmi,Lahore Qalandars
Mohammad Hafeez,22,33,3,0,66.66,c †Sarfaraz Ahmed b Mills,2017,Dubai International Cricket Stadium,Peshawar Zalmi,Quetta Gladiators
Mohammad Hafeez,36,29,5,1,124.13,c Elliott b Mohammad Nawaz,2016,Sharjah Cricket Stadium,Peshawar Zalmi,Quetta Gladiators
Mohammad Hafeez,77,47,5,6,163.82,c Saad Nasim b Mohammad Nawaz,2017,Sharjah Cricket Stadium,Peshawar Zalmi,Quetta Gladiators
Mohammad Hafeez,4,6,1,0,66.66,c Wessels b Mohammad Amir,2016,Dubai International Cricket Stadium,Peshawar Zalmi,Karachi Kings
Mohammad Hafeez,13,11,1,1,118.18,lbw b Zafar Gohar,2018,Dubai International Cricket Stadium,Peshawar Zalmi,Islamabad United
Mohammad Hafeez,15,18,2,0,83.33,b Mohammad Nawaz,2016,Dubai International Cricket Stadium,Peshawar Zalmi,Quetta Gladiators
Mohammad Hafeez,12,13,1,0,92.30,c Mohammad Nawaz b Emrit,2017,"Gaddafi Stadium, Lahore",Peshawar Zalmi,Quetta Gladiators
Mohammad Hafeez,31,26,2,2,119.23,c Watson b Laughlin,2018,Dubai International Cricket Stadium,Peshawar Zalmi,Quetta Gladiators
Mohammad Hafeez,8,14,0,0,57.14,c Asif Ali b Imran Khalid,2016,Dubai International Cricket Stadium,Peshawar Zalmi,Islamabad United
Mohammad Hafeez,0,3,0,0,0.00,b Usman Shinwari,2018,Sharjah Cricket Stadium,Peshawar Zalmi,Karachi Kings
Mohammad Hafeez,27,25,2,1,108.00,b Yasir Shah,2018,Sharjah Cricket Stadium,Peshawar Zalmi,Lahore Qalandars
Mohammad Hafeez,25,14,4,1,178.57,b Mahmudullah,2018,"Gaddafi Stadium, Lahore",Peshawar Zalmi,Quetta Gladiators
Mohammad Hafeez,13,8,1,1,162.50,c & b Bopara,2018,"Gaddafi Stadium, Lahore",Peshawar Zalmi,Karachi Kings
Mohammad Hafeez,14,22,1,0,63.63,c Shan Masood b Imran Tahir,2020,"Gaddafi Stadium, Lahore",Lahore Qalandars,Multan Sultans
Mohammad Hafeez,8,6,0,1,133.33,c & b Patel,2018,"National Stadium, Karachi",Peshawar Zalmi,Islamabad United
Mohammad Hafeez,98,57,7,7,171.92,not out,2020,"Gaddafi Stadium, Lahore",Lahore Qalandars,Islamabad United
Mohammad Hafeez,1,3,0,0,33.33,c Banton b Gregory,2020,Rawalpindi Cricket Stadium,Lahore Qalandars,Peshawar Zalmi
Mohammad Hafeez,33,26,5,0,126.92,not out,2021,"National Stadium, Karachi",Lahore Qalandars,Peshawar Zalmi
Mohammad Hafeez,73,33,5,6,221.21,not out,2021,"National Stadium, Karachi",Lahore Qalandars,Quetta Gladiators
Mohammad Hafeez,0,1,0,0,0.00,c Watson b Fawad Ahmed,2020,"Gaddafi Stadium, Lahore",Lahore Qalandars,Quetta Gladiators
Mohammad Hafeez,10,13,1,0,76.92,c Hussain Talat b Akif Javed,2020,"Gaddafi Stadium, Lahore",Lahore Qalandars,Islamabad United
Mohammad Hafeez,60,35,3,5,171.42,run out (Brathwaite/Usman Qadir),2021,"National Stadium, Karachi",Lahore Qalandars,Multan Sultans
Mohammad Hafeez,39,32,4,1,121.87,not out,2020,"Gaddafi Stadium, Lahore",Lahore Qalandars,Quetta Gladiators
Mohammad Hafeez,15,9,1,1,166.66,c Babar Azam b Waqas Maqsood,2021,"National Stadium, Karachi",Lahore Qalandars,Karachi Kings
Mohammad Hafeez,16,24,1,0,66.66,c Delport b Umer Khan,2020,"Gaddafi Stadium, Lahore",Lahore Qalandars,Karachi Kings
Mohammad Hafeez,4,4,0,0,100.00,c Gregory b Brathwaite,2020,"Gaddafi Stadium, Lahore",Lahore Qalandars,Peshawar Zalmi
Mohammad Hafeez,35,22,3,1,159.09,not out,2020,"National Stadium, Karachi",Lahore Qalandars,Karachi Kings
Mohammad Hafeez,29,25,3,0,116.00,c Asif Ali b Hasan Ali,2021,"Sheikh Zayed Stadium, Abu Dhabi",Lahore Qalandars,Islamabad United
